Timestamp,Symbol,Price,Type,Status,Bid,Ask,NoBid,NoAsk,Last,Volume,Depth,StrikeType,FloorStrike,CapStrike
2026-09-06T15:48:37.687195,KXHIGHNY-26SEP07-B77.5 (Market),0.38,MARKET_DATA,REAL,0.38,0.39,0.61,0.62,0.42,274,,between,77.0,78.0
2026-09-06T15:48:37.687321,KXHIGHNY-26SEP06-T80 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,1715,,greater,80.0,
2026-09-06T15:48:37.687437,KXHIGHNY-26SEP06-T73 (Market),0.02,MARKET_DATA,REAL,0.02,0.04,0.96,0.98,0.04,11838,,less,,73.0
2026-09-06T15:48:37.687553,KXHIGHNY-26SEP06-B79.5 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,3985,,between,79.0,80.0
2026-09-06T15:48:37.687667,KXHIGHNY-26SEP06-B77.5 (Market),0.07,MARKET_DATA,REAL,0.07,0.08,0.92,0.93,0.07,23904,,between,77.0,78.0
2026-09-06T15:48:37.687785,KXHIGHNY-26SEP06-B75.5 (Market),0.56,MARKET_DATA,REAL,0.56,0.57,0.43,0.44,0.57,11918,,between,75.0,76.0
2026-09-06T15:48:37.687934,KXHIGHNY-26SEP06-B73.5 (Market),0.31,MARKET_DATA,REAL,0.31,0.32,0.68,0.69,0.33,14205,,between,73.0,74.0
2026-09-06T15:48:37.688054,KXHIGHNY (F),71.96,MARKET_DATA,REAL,,,,,,,,,,
2026-09-06T15:48:40.532794,KXHIGHCHI-26SEP07-T83 (Market),0.01,MARKET_DATA,REAL,0.01,0.02,0.98,0.99,0.01,654,,greater,83.0,
2026-09-06T15:48:40.537148,KXHIGHCHI-26SEP07-T76 (Market),0.02,MARKET_DATA,REAL,0.02,0.03,0.97,0.98,0.02,34,,less,,76.0
2026-09-06T15:48:40.542256,KXHIGHCHI-26SEP07-B82.5 (Market),0.1,MARKET_DATA,REAL,0.1,0.11,0.89,0.9,0.1,34,,between,82.0,83.0
2026-09-06T15:48:40.547206,KXHIGHCHI-26SEP07-B80.5 (Market),0.37,MARKET_DATA,REAL,0.37,0.4,0.6,0.63,0.33,206,,between,80.0,81.0
2026-09-06T15:48:40.551437,KXHIGHCHI-26SEP07-B78.5 (Market),0.35,MARKET_DATA,REAL,0.35,0.36,0.64,0.65,0.36,28,,between,78.0,79.0
2026-09-06T15:48:40.555628,KXHIGHCHI-26SEP07-B76.5 (Market),0.1,MARKET_DATA,REAL,0.1,0.11,0.89,0.9,0.11,41,,between,76.0,77.0
2026-09-06T15:48:40.560590,KXHIGHCHI-26SEP06-T82 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,2377,,greater,82.0,
2026-09-06T15:48:40.564013,KXHIGHCHI-26SEP06-T75 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,2368,,less,,75.0
2026-09-06T15:48:40.568994,KXHIGHCHI-26SEP06-B81.5 (Market),0.02,MARKET_DATA,REAL,0.02,0.03,0.97,0.98,0.02,6656,,between,81.0,82.0
2026-09-06T15:48:40.574740,KXHIGHCHI-26SEP06-B79.5 (Market),0.44,MARKET_DATA,REAL,0.44,0.45,0.55,0.56,0.44,6163,,between,79.0,80.0
2026-09-06T15:48:40.580565,KXHIGHCHI-26SEP06-B77.5 (Market),0.55,MARKET_DATA,REAL,0.55,0.57,0.43,0.45,0.6,8032,,between,77.0,78.0
2026-09-06T15:48:40.583956,KXHIGHCHI-26SEP06-B75.5 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,7269,,between,75.0,76.0
2026-09-06T15:48:40.588172,KXHIGHCHI (F),75.02,MARKET_DATA,REAL,,,,,,,,,,
2026-09-06T15:48:57.844012,KXHIGHNY-26SEP07-T84 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,876,,greater,84.0,
2026-09-06T15:48:57.848888,KXHIGHNY-26SEP07-T77 (Market),0.07,MARKET_DATA,REAL,0.07,0.08,0.92,0.93,0.07,35,,less,,77.0
2026-09-06T15:48:57.852941,KXHIGHNY-26SEP07-B83.5 (Market),0.02,MARKET_DATA,REAL,0.02,0.03,0.97,0.98,0.01,151,,between,83.0,84.0
2026-09-06T15:48:57.857647,KXHIGHNY-26SEP07-B81.5 (Market),0.07,MARKET_DATA,REAL,0.07,0.08,0.92,0.93,0.07,89,,between,81.0,82.0
2026-09-06T15:48:57.861659,KXHIGHNY-26SEP07-B79.5 (Market),0.48,MARKET_DATA,REAL,0.48,0.5,0.5,0.52,0.49,521,,between,79.0,80.0
2026-09-06T15:48:57.864896,KXHIGHNY-26SEP07-B77.5 (Market),0.38,MARKET_DATA,REAL,0.38,0.4,0.6,0.62,0.42,274,,between,77.0,78.0
2026-09-06T15:48:57.870380,KXHIGHNY-26SEP06-T80 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,1715,,greater,80.0,
2026-09-06T15:48:57.873632,KXHIGHNY-26SEP06-T73 (Market),0.02,MARKET_DATA,REAL,0.02,0.04,0.96,0.98,0.04,11838,,less,,73.0
2026-09-06T15:48:57.876899,KXHIGHNY-26SEP06-B79.5 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,3985,,between,79.0,80.0
2026-09-06T15:48:57.882389,KXHIGHNY-26SEP06-B77.5 (Market),0.06,MARKET_DATA,REAL,0.06,0.07,0.93,0.94,0.07,23909,,between,77.0,78.0
2026-09-06T15:48:57.887127,KXHIGHNY-26SEP06-B75.5 (Market),0.56,MARKET_DATA,REAL,0.56,0.57,0.43,0.44,0.57,11918,,between,75.0,76.0
2026-09-06T15:48:57.891893,KXHIGHNY-26SEP06-B73.5 (Market),0.36,MARKET_DATA,REAL,0.36,0.38,0.62,0.64,0.4,14469,,between,73.0,74.0
2026-09-06T15:48:57.895896,KXHIGHNY (F),71.96,MARKET_DATA,REAL,,,,,,,,,,
2026-09-06T15:49:32.303761,KXHIGHNY-26SEP07-T84 (Market),0.01,MARKET_DATA,REAL,0.0,0.01,0.99,1.0,0.01,876,,greater,84.0,
2026-09-06T15:49:32.304153,KXHIGHNY-26SEP07-T77 (Market),0.07,MARKET_DATA,REAL,0.07,0.08,0.92,0.93,0.07,35,,less,,77.0
